year,deaths,population,imigrants,emigrants,births,birthrate,deathrate,imigrationrate,emigrationrate
1993,108170,10068319,63749,44811,120848,12.00279808377148,10.743600793737265,6.331642849218425,4.450693308386435
1994,104894,10100631,66147,36530,116513,11.535219928339131,10.384895755522601,6.548798782967123,3.6166057348298337
1995,105933,10130574,62950,36044,115542,11.40527673950163,10.456761877461238,6.213863103907045,3.5579425213220888
1996,105322,10143047,61522,36674,116442,11.479982297232775,10.38366479027456,6.065435761068642,3.6156787994771196
1997,104190,10170226,58849,39320,116213,11.426786386064578,10.24461010010987,5.786400420206984,3.866187437722623
1998,104534,10192264,83812,72087,114247,11.209187674102633,10.256210003979488,8.22309940166385,7.072717111723166
1999,0,10213752,91624,74097,114170,11.178066591003972,0.0,8.97065055035603,7.254630815394774
2000,104903,10239085,89388,75320,116396,11.367812651228112,10.245349071718811,8.730076955118548,7.356126060092284
2001,103447,10263414,110410,75261,115372,11.241093850447813,10.079199767250937,10.757628991678597,7.332940091864169
2002,105642,10309725,113857,75960,113096,10.969836731823593,10.24683005608782,11.043650533840621,7.367800790030771
2003,107628,10355844,112060,79399,114005,11.008759884756858,10.392972315921329,10.820943227804513,7.667071848513747
2004,101256,10396421,117236,83895,117295,11.2822479966904,9.739505547149351,11.276572966793092,8.06960395312964
2005,102963,10445852,132810,86899,119622,11.451626923299315,9.85683120917279,12.714137630898849,8.31899590382862
2006,101587,10511382,137699,88163,122529,11.656792608241238,9.664476088872043,13.099990086936236,8.38738426593192
2007,100658,10584534,146409,91052,124095,11.724181716455348,9.509913237559632,13.832351995846015,8.60236265479425
2008,104587,10666866,0,0,127205,11.9252458969673,9.80484802190259,0.0,0.0
2009,103854,10753080,0,0,127198,11.828982951861233,9.658070059927017,0.0,0.0
2010,105152,10839905,135281,66013,130100,12.001950201593095,9.70045401689406,12.479906419844086,6.089813517738393
2011,104292,11000638,147377,84148,128705,11.699775958448955,9.480541037710722,13.39713205724977,7.649374518096132
2012,109076,11075889,129477,93600,128051,11.561239012055825,9.848058246159743,11.689987142341352,8.450788916356961
2013,109334,11137974,120078,102657,125606,11.277275382398988,9.816327457758474,10.780955315571754,9.216846798169938
2014,104755,11180840,123158,94573,125014,11.181091939424945,9.369152943785977,11.01509367811363,8.458487913251599
2015,110541,11237274,146626,89794,122274,10.881108710172947,9.836994274590083,13.048182326069472,7.990728000402944
2016,108097,11311117,123702,92471,121896,10.77665450724274,9.55670425829739,10.9363204359039,8.175231500125054
2017,109666,11351727,126703,89690,119690,10.543770124140583,9.660732679705916,11.161561584417948,7.901000438083122
2018,110693,11398589,137860,88935,118319,10.380144419629483,9.711114244052489,12.094479413197545,7.802281492911096
2019,108783,11455519,150006,102936,117695,10.274087101597054,9.496121476469115,13.09464896352579,8.985712476230889
2020,126896,11522440,118683,76562,114350,9.92411329544784,11.012945174806724,10.300162118440191,6.6445995813386745
2021,112331,11554767,139743,87272,118349,10.242439332614843,9.721615329846115,12.093969527901342,7.5529000281875005
2022,116424,11617623,208356,84627,114095,9.820855780911465,10.021327082140642,17.93447764658915,7.284364452177524
